"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"15","RT @murpharoo: Barnaby Joyce digs in, John Anderson says he's not coming back, Tony Windsor says never say never https://t.co/iTw1PBwCin #a…",FALSE,0,NA,2018-06-05 04:25:34,FALSE,NA,"1003855323923300352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judyvw2",14,TRUE,FALSE,NA,NA
"16","RT @TeamTAbbott: PETA CREDLIN exposes the insanity of Malcolm Turnbull’s proposed Carbon Tax on cars: “It was bad enough to have the green…",FALSE,0,NA,2018-06-05 04:25:29,FALSE,NA,"1003855302385496064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhosFibbing",31,TRUE,FALSE,NA,NA
"17","RT @AnodyneParadigm: @SkyNewsAust @SharriMarkson @Barnaby_Joyce Cover up is an understatement!
Put simply the full story was embargoed by a…",FALSE,0,NA,2018-06-05 04:25:28,FALSE,NA,"1003855296748384256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narelleford",8,TRUE,FALSE,NA,NA
"18","RT @JohnWren1950: @DerekRobinson2 @TurnbullMalcolm I have a vert good friend in NZ who gets 1GB/s on his #fttp home internet for about the…",FALSE,0,NA,2018-06-05 04:25:23,FALSE,NA,"1003855279216181249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msrose2343",2,TRUE,FALSE,NA,NA
"19","RT @themarkjacka: How about Josh Park-Fing,,,,you know the kid who died on work for the dole. Cash is hiding that report from his parents f…",FALSE,0,NA,2018-06-05 04:25:23,FALSE,NA,"1003855278779977728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judyvw2",67,TRUE,FALSE,NA,NA
"20","RT @parsect: @albericie @abcnews I just wish someone from the media would look into how the gov. uses public $ to fund and favour corporati…",FALSE,0,NA,2018-06-05 04:25:23,FALSE,NA,"1003855276129185792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","politico_pup",17,TRUE,FALSE,NA,NA
"21","RT @JohnWren1950: Remember #auspol, @TurnbullMalcolm aided and abetted @Barnaby_Joyce with his deliberate deception of #NewEngland voters i…",FALSE,0,NA,2018-06-05 04:25:21,FALSE,NA,"1003855269657391104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ysolda_Nichols",284,TRUE,FALSE,NA,NA
"22","RT @MeckeringBoy: While in a public gallery in Singapore I was able to access free wifi at 300Mbps. I can’t even buy that speed here. My fr…",FALSE,0,NA,2018-06-05 04:25:19,FALSE,NA,"1003855258626297858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","slsandpet",30,TRUE,FALSE,NA,NA
"23","RT @JohnWren1950: @DerekRobinson2 @TurnbullMalcolm I have a vert good friend in NZ who gets 1GB/s on his #fttp home internet for about the…",FALSE,0,NA,2018-06-05 04:25:18,FALSE,NA,"1003855255686152192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Backoff11111",2,TRUE,FALSE,NA,NA
"24","RT @mana_kailani: John Lloyd wasn’t attacked by Labor &amp; the unions. He was rightly questioned about an investigation into his possible misc…",FALSE,0,NA,2018-06-05 04:25:14,FALSE,NA,"1003855240485957632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JillJackz",26,TRUE,FALSE,NA,NA
"25","@deniseshrivell Denise, that's a big claim to make without a link. 
Not seeing anything (on Shorten's page) that in… https://t.co/dndfYBP0WR",FALSE,0,"deniseshrivell",2018-06-05 04:25:14,TRUE,"1003829977312186369","1003855239160582144","16094885","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LezCyborg",0,FALSE,FALSE,NA,NA
"26","RT @JasonClareMP: BREAKING: It’s just been revealed in Estimates that Turnbull is spending $71,500 on consultants to find a new Chair of th…",FALSE,0,NA,2018-06-05 04:25:14,FALSE,NA,"1003855237940015105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","svnovavida",74,TRUE,FALSE,NA,NA
"27","RT @AshGhebranious: First the NBN blamed ISPs for not buying enough bandwidth and now they are blaming the users for using too much bandwid…",FALSE,0,NA,2018-06-05 04:25:11,FALSE,NA,"1003855225768169472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justanotweet",102,TRUE,FALSE,NA,NA
"28","RT @ACOSS: ACOSS CEO @CassandraGoldie is calling on Government to listen to what the community is saying. An Essential Poll shows 68% agree…",FALSE,0,NA,2018-06-05 04:25:08,FALSE,NA,"1003855215366324224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Old_Relict",49,TRUE,FALSE,NA,NA
"29","RT @tomsavage95: So Barnaby Joyce apparently couldn't help who he fell in love with,  unlike the 'lifestyle choices' he claimed LGBT Austra…",FALSE,0,NA,2018-06-05 04:25:08,FALSE,NA,"1003855214934351873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","darwinb0y",250,TRUE,FALSE,NA,NA
"30","RT @BelindaJones68: Yes, he is supposedly under so much stress, on paid leave instructed by a doctor, but can still do media interviews???…",FALSE,0,NA,2018-06-05 04:25:07,FALSE,NA,"1003855209607491585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judyvw2",30,TRUE,FALSE,NA,NA
"31","RT @Qldaah: Queenslander! Palaszczuk Govt approves Australia's largest windfarm. $1bn project in Queensland’s Bowen basin to consist of alm…",FALSE,0,NA,2018-06-05 04:25:04,FALSE,NA,"1003855197767020544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","simonahac",22,TRUE,FALSE,NA,NA
"32","RT @MeckeringBoy: While in a public gallery in Singapore I was able to access free wifi at 300Mbps. I can’t even buy that speed here. My fr…",FALSE,0,NA,2018-06-05 04:25:00,FALSE,NA,"1003855180410961920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","judyfree10",30,TRUE,FALSE,NA,NA
"33","RT @Talaolp: via @jennyagapito1  
An increase of 64 cents an hour for the minimum wage is a joke. No employer will go broke, when in 2017 t…",FALSE,0,NA,2018-06-05 04:24:56,FALSE,NA,"1003855165022015488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","petervoss271",17,TRUE,FALSE,NA,NA
"34","RT @BelindaJones68: BREAKING: Barnaby Joyce confirms he will recontest his seat of New England.

Though he does not say which party he'll r…",FALSE,0,NA,2018-06-05 04:24:55,FALSE,NA,"1003855161767260162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ross_Summers",53,TRUE,FALSE,NA,NA
"35","RT @deniseshrivell: Yet another thing to never forgive Turnbull for - his complete misjudgement in having a DD election &amp; letting these nar…",FALSE,0,NA,2018-06-05 04:24:55,FALSE,NA,"1003855161435934720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LinnyAMcA",5,TRUE,FALSE,NA,NA
"36","RT @MGRANT65: .@LyleShelton words seem too difficult for you to get your head around. 

Maybe a pictograph will do the trick #auspol https:…",FALSE,0,NA,2018-06-05 04:24:53,FALSE,NA,"1003855152170688512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SkyeIsleOf",4,TRUE,FALSE,NA,NA
"37","@deniseshrivell @TurnbullMalcolm has all political acumen of a boot scraper. #auspol",FALSE,0,"deniseshrivell",2018-06-05 04:24:53,FALSE,"1003854488006897664","1003855151822589953","16094885","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","potcalling",0,FALSE,FALSE,NA,NA
"38","RT @TeamTAbbott: The Turnbull-led Coalition has cratered in today’s #Essential poll, with a Two-Party Preferred result of 46/54 in Labor’s…",FALSE,0,NA,2018-06-05 04:24:53,FALSE,NA,"1003855150367162368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rhianno18150672",28,TRUE,FALSE,NA,NA
"39","Mueller Drops New Bombshell as He Accuses #PaulManafort of #WitnessTampering 
https://t.co/qVAqidL8is 
@randlight… https://t.co/4laSOfZHqL",FALSE,0,NA,2018-06-05 04:24:52,TRUE,NA,"1003855148240629760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ricklevy67",0,FALSE,FALSE,NA,NA
"40","RT @Jackie_Trad: #qldpol #auspol https://t.co/wLNSpwxdjA",FALSE,0,NA,2018-06-05 04:24:52,FALSE,NA,"1003855147322077184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Qlder",1,TRUE,FALSE,NA,NA
"41","RT @RecoEco: Great to see Infrastructure Australia (@InfraAust) still pushing for increased use of land taxes. I was interviewed by @TawarR…",FALSE,0,NA,2018-06-05 04:24:49,FALSE,NA,"1003855133183053824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","enfrost_domain",8,TRUE,FALSE,NA,NA
"42","RT @Talaolp: #MalcolmTurnbull
Doesn't Want To Pay Workers 
#MinimumWage #PenaltyRates
Because he can Never have Too Much Money  #SelfishBas…",FALSE,0,NA,2018-06-05 04:24:48,FALSE,NA,"1003855130406502402",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DanaScully2",9,TRUE,FALSE,NA,NA
"43","RT @Talaolp: via @AlGrey8 
#Liberals #Fraudband Working Great - When NOT in Use
Never forget #Turnbull gave you this outdated and useless t…",FALSE,0,NA,2018-06-05 04:24:45,FALSE,NA,"1003855117798408192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","justanotweet",11,TRUE,FALSE,NA,NA
"44","RT @Qldaah: George Christensen hit the taxpayer up for $29,811.97 for newspaper ads on anti-SSM, anti-ABC &amp; a pro-coal fired power station…",FALSE,0,NA,2018-06-05 04:24:43,FALSE,NA,"1003855110298988544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ross_Summers",34,TRUE,FALSE,NA,NA
"45","RT @AnodyneParadigm: @SkyNewsAust @SharriMarkson @Barnaby_Joyce Cover up is an understatement!
Put simply the full story was embargoed by a…",FALSE,0,NA,2018-06-05 04:24:43,FALSE,NA,"1003855108495400961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ldundas96",8,TRUE,FALSE,NA,NA
"46","RT @ETUVIC: We say NO to @TurnbullMalcolm's flat tax for 73% of Australians. It means the poor pay more and the rich pay less. It's far-rig…",FALSE,0,NA,2018-06-05 04:24:40,FALSE,NA,"1003855098622038016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bagsnotfirst",121,TRUE,FALSE,NA,NA
"47","RT @MRobertsQLD: Australian Northern Coast:
The day after a Labor election victory

#AusPol #VicPol #QldPol #NSWPol https://t.co/EwZQSPtnsf",FALSE,0,NA,2018-06-05 04:24:38,FALSE,NA,"1003855087079383042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","simrob72",92,TRUE,FALSE,NA,NA
"48","RT @larissaandelman: Barnaby Joyce did not become Deputy Prime Minister based on merit. There is something rotten in the National party if…",FALSE,0,NA,2018-06-05 04:24:34,FALSE,NA,"1003855073011625984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SkyeIsleOf",127,TRUE,FALSE,NA,NA
"49","@FluidityAuthor @GowerInstitute @FadhelKaboub 1. To start crypto money isn’t a currency &amp; unlikely it will be anyti… https://t.co/lGiE4Nax9L",FALSE,1,"FluidityAuthor",2018-06-05 04:24:31,TRUE,"1003850441505980416","1003855059971596288","786142268440707072","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OzMyHomeMAC",0,FALSE,FALSE,NA,NA
"50","RT @JohnWren1950: RT @AnodyneParadigm: #auspol https://t.co/pB9wJ7Ia61",FALSE,0,NA,2018-06-05 04:24:29,FALSE,NA,"1003855052795043842",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MinhKular",15,TRUE,FALSE,NA,NA
